	"sin carga"				"con carga"				"locales"		
1	999680	498688	199200		997056	503296	180640		999872	500608	200288
2	999328	500992	199744		997600	498688	216000		1000704	500384	200384
3	997600	498336	199200		1001952	489600	204096		999840	500320	199168
4	997056	500992	199712		997056	510272	199200		999840	499232	200544
5	1001952	498688	199200		999680	498688	185152		999872	499840	199424
6	999680	496608	199744		999872	489088	211712		999488	500320	200416
7	997600	500992	199168		999680	512864	199168		1000960	500320	200000
8	999328	498368	199744		999328	498368	201824		999936	499232	199712
9	999680	503584	199200		997600	498688	197120		999872	500576	200288
10	999872	498368	199744		999680	500992	199744		999488	500416	200384
11	997056	500992	199200		999328	500992	199200		1000160	499168	199168
12	999680	496608	199712		999680	498880	199712		999552	500384	200544
13	997568	500960	199200		992704	498688	201824		1000992	499776	199424
14	997056	500992	190464		1004224	498368	197120		999552	500320	200416
15	1001984	498688	208480		999680	500992	199168		1000160	500384	200256
16	999872	498368	199712		997600	498688	199744		999552	499232	199136
17	999680	500992	199200		999328	500960	199200		1000160	499776	200608
18	999328	498688	199744		1001984	498912	199744		1000640	500384	199552
19	999680	500960	199200		997568	500992	201824		999840	500000	200192
20	997600	498912	199712		999680	498688	197088		999616	499776	200352
21	992384	496064	201824		999360	498368	201824		1000160	500384	200288
22	1004544	503616	197120		999648	496608	197120		999776	500320	199488
23	1001952	498336	199200		997600	503040	199200		999872	499232	200288
24	997056	498720	199744		997056	498912	199712		1000672	500640	199168
25	1001952	498880	199168		1001952	500992	199200		999872	500000	200608
26	997600	503072	199744		999904	492288	197440		999840	499840	200320
27	999680	498912	199200		997056	504768	201504		999872	499488	199424
28	999328	498688	199744		994752	500960	201792		999808	500352	200352
29	997600	498336	199168		1002496	498688	197120		1000736	500384	200320
30	999680	500992	199744		1001952	500992	199744		999488	499488	199136
31	999328	498688	199200		997056	498912	199200		1000160	500064	200608
32	999680	498912	199744		999904	498688	201824		999904	500640	199168
33	999872	500992	199200		992672	500960	197088		999552	499168	200576
34	994784	498688	199712		1001952	500992	201824		999808	500672	200352
